Episode,Cumulative_Reward
0,0.6
1,-0.32
2,-1.12
3,-0.32
4,-1.28
5,-1.44
6,0.64
7,-0.2
8,-2
9,-1.2
10,-0.6
11,0.36
12,0.44
13,0.44
14,0.6
15,-2
16,0.64
17,0.56
18,0.64
19,0.44
20,0.12
21,0.0799999
22,0.72
23,-0.44
24,-0.32
25,0.52
26,0.28
27,0.64
28,-0.2
29,0.64
30,-0.28
31,0.76
32,0.36
33,0.8
34,0.56
35,0.8
36,0.48
37,0.6
38,-1.2
39,0.84
40,-0.4
41,0.76
42,0.72
43,0.84
44,0.8
45,0.76
46,0.8
47,0.84
48,0.76
49,-1.24
50,0.72
51,0.76
52,0.84
53,0.68
54,0.68
55,0.8
56,0.76
57,0.72
58,0.72
59,0.44
60,0.76
61,0.8
62,0.84
63,0.76
64,0.76
65,0.84
66,0.64
67,0.76
68,0.84
69,0.84
70,0.84
71,0.64
72,0.84
73,0.8
74,0.8
75,-0.2
76,0.84
77,0.84
78,0.84
79,0.8
80,0.76
81,0.84
82,0.68
83,0.76
84,0.76
85,0.76
86,0.84
87,0.84
88,0.68
89,0.72
90,0.52
91,0.36
92,0.76
93,0.64
94,0.72
95,0.8
96,0.8
97,0.52
98,0.8
99,0.8
100,0.84
101,0.84
102,0.68
103,0.64
104,0.6
105,0.84
106,0.6
107,0.8
108,0.64
109,0.72
110,0.72
111,0.84
112,0.84
113,0.8
114,0.8
115,0.8
116,0.68
117,0.8
118,0.8
119,0.68
120,0.72
121,0.84
122,0.76
123,-1.72
124,0.8
125,0.8
126,0.84
127,0.64
128,0.76
129,0.8
130,-0.16
131,-1.32
132,0.84
133,0.84
134,0.8
135,0.8
136,0.84
137,0.84
138,0.4
139,0.76
140,0.64
141,0.8
142,0.84
143,0.76
144,0.72
145,0.76
146,0.72
147,0.72
148,0.68
149,0.84
150,0.76
151,0.64
152,0.84
153,0.64
154,0.84
155,0.76
156,0.8
157,0.84
158,0.84
159,0.68
160,0.68
161,0.68
162,0.6
163,0.84
164,0.84
165,0.84
166,0.72
167,0.72
168,0.76
169,0.76
170,0.8
171,0.84
172,0.76
173,0.84
174,0.52
175,0.84
176,0.84
177,0.72
178,0.56
179,0.84
180,0.72
181,0.84
182,0.84
183,0.84
184,0.76
185,0.84
186,0.76
187,0.36
188,0.84
189,0.68
190,0.84
191,0.8
192,0.8
193,0.84
194,0.8
195,0.8
196,0.68
197,0.8
198,0.68
199,0.68
200,0.84
201,0.84
202,0.8
203,0.72
204,0.56
205,0.8
206,0.72
207,0.68
208,0.8
209,0.84
210,0.52
211,0.8
212,0.64
213,0.84
214,0.84
215,0.8
216,0.76
217,0.84
218,0.8
219,0.84
220,0.76
221,0.68
222,0.84
223,0.84
224,0.8
225,0.8
226,0.8
227,0.84
228,0.76
229,0.84
230,0.64
231,0.68
232,0.84
233,0.12
234,0.8
235,0.72
236,0.76
237,0.8
238,0.64
239,0.8
240,0.84
241,0.76
242,0.84
243,0.68
244,0.64
245,0.76
246,0.64
247,0.84
248,0.84
249,0.84
250,0.84
251,0.84
252,0.84
253,0.8
254,0.64
255,0.72
256,0.84
257,0.8
258,-1.84
259,0.84
260,0.8
261,0.76
262,0.8
263,0.64
264,-1.4
265,0.76
266,0.84
267,0.8
268,0.72
269,0.8
270,0.56
271,-1.19209e-07
272,0.84
273,0.56
274,0.84
275,0.72
276,0.8
277,0.76
278,0.8
279,0.8
280,0.8
281,0.8
282,0.72
283,0.76
284,0.8
285,0.76
286,0.76
287,0.72
288,0.64
289,0.68
290,0.6
291,0.84
292,0.8
293,0.76
294,0.68
295,0.84
296,0.72
297,0.84
298,0.76
299,0.76
300,0.6
301,0.84
302,0.84
303,0.72
304,0.8
305,0.84
306,0.8
307,0.6
308,0.84
309,0.84
310,0.6
311,0.8
312,0.8
313,-1.28
314,0.72
315,0.8
316,0.64
317,0.8
318,-1.24
319,0.84
320,0.68
321,0.84
322,0.72
323,0.72
324,-1.28
325,0.76
326,0.72
327,0.64
328,0.8
329,0.76
330,0.84
331,0.72
332,0.76
333,0.76
334,0.8
335,0.8
336,0.84
337,0.76
338,0.84
339,0.8
340,0.8
341,0.6
342,0.68
343,0.64
344,0.64
345,0.76
346,0.8
347,0.68
348,0.8
349,0.64
350,0.84
351,0.84
352,0.72
353,0.76
354,0.52
355,0.64
356,0.8
357,0.76
358,0.76
359,0.84
360,0.8
361,0.72
362,0.76
363,0.8
364,0.76
365,0.84
366,0.72
367,0.76
368,0.8
369,0.8
370,0.68
371,0.72
372,0.52
373,0.72
374,-1.48
375,0.76
376,0.72
377,0.8
378,0.84
379,0.8
380,0.8
381,0.76
382,0.84
383,0.84
384,0.84
385,0.76
386,0.76
387,0.76
388,0.8
389,0.68
390,0.68
391,0.64
392,0.72
393,0.8
394,0.76
395,0.48
396,0.84
397,0.64
398,0.84
399,0.8
400,0.8
401,0.84
402,0.84
403,0.84
404,0.72
405,0.68
406,0.44
407,0.64
408,0.8
409,0.84
410,0.84
411,0.76
412,0.84
413,0.6
414,0.8
415,0.72
416,0.84
417,0.8
418,0.84
419,0.72
420,0.68
421,0.84
422,0.72
423,0.76
424,0.76
425,0.68
426,0.84
427,0.72
428,0.68
429,0.84
430,0.84
431,0.84
432,0.84
433,0.8
434,0.76
435,0.76
436,0.84
437,0.68
438,0.6
439,0.84
440,0.76
441,0.8
442,0.64
443,0.84
444,0.76
445,0.76
446,0.8
447,0.8
448,0.8
449,0.84
450,0.76
451,0.8
452,0.76
453,0.84
454,0.84
455,0.64
456,0.72
457,-1.2
458,0.8
459,0.72
460,0.64
461,0.84
462,0.84
463,0.76
464,0.72
465,0.72
466,0.84
467,0.84
468,0.72
469,0.72
470,0.84
471,0.76
472,0.84
473,0.84
474,0.68
475,0.72
476,0.72
477,0.8
478,0.8
479,0.76
480,0.8
481,0.84
482,0.76
483,0.76
484,0.8
485,0.84
486,0.68
487,0.72
488,0.72
489,0.8
490,0.84
491,0.76
492,0.68
493,0.72
494,0.84
495,0.84
496,0.84
497,0.8
498,0.84
499,0.76
500,0.8
501,0.72
502,0.8
503,0.72
504,0.68
505,0.76
506,0.8
507,0.56
508,0.84
509,0.64
510,0.8
511,0.84
512,0.76
513,0.8
514,0.8
515,0.72
516,0.76
517,0.8
518,0.6
519,0.8
520,0.72
521,0.84
522,0.84
523,0.8
524,0.84
525,-1.36
526,0.68
527,0.8
528,0.72
529,0.68
530,0.84
531,0.84
532,0.8
