0,-88
1,-100
2,-126
3,-104
4,-127
5,-100
6,-118
7,-105
8,-137
9,-121
10,-106
11,-180
12,-107
13,-142
14,-105
15,-114
16,-118
17,-189
18,-100
19,-151
20,-119
21,-104
22,-189
23,-137
24,-138
25,-100
26,-134
27,-194
28,-210
29,-160
30,-97
31,-224
32,-177
33,-193
34,-105
35,-114
36,-276
37,-180
38,-160
39,-131
40,-178
41,-338
42,-165
43,-200
44,-191
45,-229
46,-160
47,-147
48,-113
49,-106
50,-40
51,-122
52,-257
53,-105
54,-105
55,-115
56,-146
57,-87
58,-114
59,-87
60,-60
61,-43
62,-98
63,-82
64,-185
65,-149
66,-81
67,-130
68,-73
69,-87
70,-253
71,-100
72,-86
73,-114
74,-97
75,-111
76,-81
77,-44
78,-169
79,-32
80,-68
81,-61
82,-81
83,-38
84,-83
85,-102
86,-116
87,-57
88,-50
89,-106
90,-75
91,-54
92,-39
93,-100
94,-57
95,-186
96,-67
97,-46
98,-113
99,-45
100,-67
101,-40
102,-173
103,-49
104,-114
105,-43
106,-56
107,-102
108,-87
109,-45
110,-69
111,-80
112,-36
113,-37
114,-37
115,-27
116,-100
117,-52
118,-52
119,-107
120,-62
121,-110
122,-59
123,-63
124,-69
125,-42
126,-152
127,-39
128,-111
129,-53
130,-59
131,-47
132,-74
133,-31
134,-44
135,-37
136,-102
137,-57
138,-42
139,-42
140,-29
141,-39
142,-100
143,-100
144,-50
145,-48
146,-55
147,-64
148,-37
149,-17
150,-58
151,-30
152,-26
153,-60
154,-62
155,-25
156,-60
157,-128
158,-60
159,-48
160,-70
161,-58
162,-29
163,-44
164,-111
165,-39
166,-58
167,-35
168,-102
169,-63
170,-107
171,-33
172,-36
173,-25
174,-40
175,-49
176,-36
177,-34
178,-70
179,-30
180,-100
181,-21
182,-20
183,-37
184,-83
185,-43
186,-100
187,-117
188,-29
189,-100
190,-79
191,-29
192,-63
193,-34
194,-114
195,-59
196,-37
197,-36
198,-108
199,-40
200,-153
201,-30
202,-39
203,-50
204,-27
205,-36
206,-64
207,-46
208,-27
209,-37
210,-64
211,-33
212,-50
213,-107
214,-35
215,-32
216,-41
217,-52
218,-36
219,-123
220,-28
221,-32
222,-41
223,-128
224,-102
225,-100
226,-25
227,-56
228,-38
229,-40
230,-36
231,-42
232,-31
233,-35
234,-61
235,-51
236,-28
237,-30
238,-129
239,-64
240,-113
241,-106
242,-49
243,-38
244,-45
245,-132
246,-31
247,-20
248,-30
249,-37
250,-28
251,-29
252,-31
253,-46
254,-31
255,-41
256,-58
257,-30
258,-55
259,-41
260,-34
261,-60
262,-125
263,-46
264,-37
265,-49
266,-33
267,-16
268,-116
269,-103
270,-53
271,-41
272,-23
273,-37
274,-29
275,-105
276,-20
277,-54
278,-32
279,-34
280,-49
281,-28
282,-115
283,-21
284,-38
